,num_followers,num_pub,num_fav,num_alb,num_fol,num_wal,time,top_plays,top_favs,top_genre
54,1350,317,6862,14,368,2875,10,4755,252,Lo-Fi
55,1344,917,6612,9,558,5998,5,114,12,Trap
56,1340,274,1149,2,744,2129,6,32179,1029,Trap
57,1339,7,2029,10,382,2948,10,10899,264,Lo-Fi
58,1330,293,7198,1,633,1819,12,2853,151,Techno
59,1328,2,2430,9,113,6678,6,399,52,Rock
60,1313,90,2372,2,82,3486,10,9140,305,uncategorized
61,1303,92,1322,7,73,3483,9,13480,447,uncategorized
62,1303,84,6577,2,329,4750,5,2637,129,Future Bass
63,1299,334,1986,19,533,2571,9,105,11,EDM
64,1296,2,23518,0,8886,435,8,344,27,uncategorized
65,1295,446,1971,9,156,11297,11,1586,72,Trap
66,1260,53,862,2,98,2297,10,9550,334,Future Bass
67,1248,282,6987,19,991,2506,11,2844,199,uncategorized
68,1243,18,6120,1,223,10790,11,4868,258,Drum & Bass
69,1219,151,5076,10,147,3228,11,3296,183,uncategorized
70,1213,26,2471,2,197,1582,6,8451,284,Hip Hop
71,1203,101,4355,1,89,1074,12,4967,173,uncategorized
72,1195,68,1470,17,159,1191,8,197,27,EDM
73,1190,27,4723,12,196,8082,6,11228,413,Drum & Bass
74,1180,101,2536,9,82,5281,9,2832,175,House
75,1168,219,12604,27,288,3338,9,81,5,uncategorized
76,1164,104,5359,13,249,967,11,3572,198,uncategorized
77,1159,39,2602,1,108,6830,8,17393,644,uncategorized
78,1158,23,4141,0,272,15279,4,546,60,Ambient
79,1151,118,1805,8,178,1584,9,38477,1143,Hip Hop
80,1149,466,10866,13,176,3128,7,131,18,House
81,1138,133,2426,21,188,4413,9,3005,129,Trap
82,1114,125,3909,5,123,3766,5,662,47,Hip Hop
83,1108,713,6438,0,1477,943,10,2735,140,Trap
84,1099,68,2860,3,109,1559,7,27655,867,Future Bass
85,1093,74,2878,0,199,4945,9,31564,933,uncategorized
86,1092,24,2665,5,42,10396,5,3603,205,Trap
87,1084,15,1293,0,58,3088,6,5197,278,House
88,1083,86,4802,2,1225,2713,10,891,99,uncategorized
89,1077,115,17,0,23,86,10,16062,368,uncategorized
90,1071,60,4409,6,244,2603,4,229,39,Downtempo
91,1058,80,1333,15,43,525,7,62,8,Electro
92,1053,28,1941,2,507,286,11,9632,305,Other
93,1049,147,1868,21,462,3378,10,314,34,House
94,1046,101,1434,8,119,5681,6,422,56,Acoustic
95,1043,173,11851,5,168,2445,12,5316,148,uncategorized
96,1035,30,321,1,52,264,4,1330,110,Bass Music
97,1030,2,1650,3,3021,457,9,70,6,Newbie
98,1030,35,4349,3,158,3685,6,3606,168,Trap
99,1027,38,1209,5,90,2420,6,35155,1292,Trap
100,1022,31,2577,7,363,6855,7,91,12,Indie
101,1006,85,2398,3,155,1351,11,14109,314,uncategorized
102,992,57,3122,9,79,6265,5,50,9,Newbie
103,984,43,9013,0,885,5189,4,514,45,Hip Hop
104,967,7,278,0,2957,765,4,26270,682,Hip Hop
105,964,85,2459,7,129,1337,7,214,27,Birdcore
106,957,246,3515,1,46,2755,12,861,91,uncategorized
107,940,39,4390,14,149,2200,10,8389,341,uncategorized
108,937,420,3637,7,277,1924,8,17393,644,uncategorized
109,936,72,2351,3,163,1340,6,1812,107,House
110,935,528,517,1,142,565,12,7045,176,uncategorized
111,934,9,3435,2,349,4342,5,4041,171,Trap
112,934,533,953,32,2107,1123,8,27,2,Newbie
113,929,127,1012,2,225,1457,11,97,17,Bass Music
114,927,55,6325,0,623,2570,12,6157,172,uncategorized
115,923,49,3908,0,181,5355,7,19108,628,uncategorized
116,916,90,810,0,69,470,12,6161,282,uncategorized
117,915,26,2593,0,69,833,7,499,45,Hip Hop
118,910,54,562,1,67,848,12,990,75,Downtempo
119,909,236,2372,8,123,422,12,7769,143,Techno
120,907,137,9831,20,548,1439,10,106,18,Drum & Bass
121,889,84,12193,7,286,2417,5,1699,153,Experimental
122,881,48,2475,6,1954,917,9,586,52,uncategorized
123,875,79,3275,3,46,1781,10,4230,242,Ambient
