,num_followers,num_pub,num_fav,num_alb,num_fol,num_wal,time,top_plays,top_favs,top_genre
199,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
200,694,70,2347,6,694,2827,about 12 years ago,6605,158,uncategorized
201,686,416,803,14,686,1540,about 9 years ago,976,81,uncategorized
202,684,299,4949,7,684,4883,about 4 years ago,731,66,Bass Music
203,679,16,4544,5,679,38,about 9 years ago,1775,81,uncategorized
204,678,137,1725,1,678,1577,about 5 years ago,6410,277,Trap
205,676,10,3215,3,676,6695,about 5 years ago,119,16,Newbie
206,673,169,8122,9,673,5134,about 5 years ago,2213,139,Synthwave
207,673,208,1716,11,673,583,about 11 years ago,1046,88,uncategorized
208,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
209,672,81,2440,3,672,3088,about 8 years ago,1956,114,uncategorized
210,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
211,672,33,2120,1,672,8235,about 5 years ago,282,19,Funk
212,672,106,1622,1,672,291,about 12 years ago,7375,151,uncategorized
213,671,126,1441,60,671,1609,about 7 years ago,370,42,uncategorized
214,670,38,6539,0,670,1577,about 10 years ago,903,44,uncategorized
215,669,54,369,1,669,293,about 10 years ago,34686,1016,uncategorized
216,667,39,456,0,667,433,about 12 years ago,3490,216,uncategorized
217,655,49,655,0,655,599,about 12 years ago,16686,439,uncategorized
218,654,222,2206,3,654,2391,about 10 years ago,19,4,Synthwave
219,651,140,2492,4,651,2783,about 4 years ago,21,3,Drum & Bass
220,645,257,1604,1,645,1065,about 5 years ago,5973,274,Hip Hop
221,644,28,1114,3,644,369,about 7 years ago,3075,152,Drum & Bass
222,639,169,1758,1,639,3211,about 7 years ago,4,1,Hip Hop
223,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
224,638,30,284,0,638,323,about 12 years ago,369,55,uncategorized
225,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
226,635,98,4945,3,635,1165,about 9 years ago,1564,82,uncategorized
227,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
228,629,127,1388,3,629,1626,about 5 years ago,5061,208,Trap
229,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
230,626,7,17,0,626,187,about 7 years ago,6129,206,Trap
231,626,132,972,2,626,419,about 12 years ago,6988,171,uncategorized
232,626,177,2641,1,626,2535,about 4 years ago,417,61,Trap
233,621,661,561,0,621,941,about 10 years ago,10269,421,Trap
234,617,337,6057,6,617,4390,about 3 years ago,5551,238,Hip Hop
235,616,48,4388,7,616,872,about 9 years ago,5119,211,Drum & Bass
236,616,232,1889,2,616,1561,about 6 years ago,4165,123,Trap
237,616,81,1275,3,616,1306,about 6 years ago,2314,133,uncategorized
238,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
239,612,71,1992,2,612,2674,about 9 years ago,9527,450,uncategorized
240,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
241,609,34,272,0,609,196,about 12 years ago,1445,89,uncategorized
242,609,66,3166,2,609,911,about 10 years ago,2142,122,uncategorized
243,609,604,5316,3,609,1495,about 12 years ago,514,54,Funk
244,608,107,5159,1,608,3721,about 10 years ago,2153,149,uncategorized
245,603,64,5046,5,603,4550,about 7 years ago,3918,178,Experimental
246,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
247,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
248,596,1,301,1,596,258,about 4 years ago,8,2,Trap
249,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
250,594,91,1178,6,594,473,about 9 years ago,510,34,uncategorized
251,591,10,6042,4,591,1843,about 4 years ago,1986,145,Lo-Fi
252,590,172,1635,9,590,175,about 12 years ago,81,12,Drum & Bass
253,588,43,960,0,588,613,about 7 years ago,25504,719,EDM
254,586,195,683,9,586,3017,about 8 years ago,11635,469,Bass Music
255,583,31,2306,0,583,1230,about 8 years ago,385,35,Hip Hop
256,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
257,579,8,2930,1,579,881,about 5 years ago,8196,296,Future Bass
258,578,71,756,0,578,284,about 5 years ago,1205,88,Drum & Bass
259,577,673,1180,5,577,220,about 9 years ago,48,4,uncategorized
260,576,39,1019,0,576,473,about 10 years ago,3466,201,uncategorized
261,575,196,1270,23,575,1813,about 9 years ago,1481,109,uncategorized
262,572,328,2106,2,572,2209,about 5 years ago,3031,128,Trap
263,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
264,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
